,64,512,1024
293,0.543632030487,0.543632030487,0.543632030487
294,0.533203125,0.533203125,0.533203125
295,0.5126953125,0.5126953125,0.5126953125
296,0.529296875,0.529296875,0.529296875
297,0.5224609375,0.5224609375,0.5224609375
298,0.5498046875,0.5498046875,0.5498046875
299,0.5029296875,0.5029296875,0.5029296875
300,0.5224609375,0.5224609375,0.5224609375
301,0.5263671875,0.5263671875,0.5263671875
302,0.5546875,0.5546875,0.5546875
303,0.5322265625,0.5322265625,0.5322265625
304,0.546875,0.546875,0.546875
305,0.5517578125,0.5517578125,0.5517578125
306,0.521484375,0.521484375,0.521484375
307,0.5234375,0.5234375,0.5234375
308,0.544921875,0.544921875,0.544921875
309,0.533203125,0.533203125,0.533203125
310,0.54296875,0.54296875,0.54296875
311,0.5419921875,0.5419921875,0.5419921875
312,0.564453125,0.564453125,0.564453125
313,0.5595703125,0.5595703125,0.5595703125
314,0.5341796875,0.5341796875,0.5341796875
315,0.52734375,0.52734375,0.52734375
316,0.5322265625,0.5322265625,0.5322265625
317,0.548828125,0.548828125,0.548828125
318,0.529296875,0.529296875,0.529296875
319,0.53125,0.53125,0.53125
320,0.5341796875,0.5341796875,0.5341796875
321,0.5712890625,0.5712890625,0.5712890625
322,0.53515625,0.53515625,0.53515625
323,0.5009765625,0.5009765625,0.5009765625
324,0.525390625,0.525390625,0.525390625
325,0.5576171875,0.5576171875,0.5576171875
326,0.529296875,0.529296875,0.529296875
327,0.5703125,0.5703125,0.5703125
328,0.54296875,0.54296875,0.54296875
329,0.560546875,0.560546875,0.560546875
330,0.5712890625,0.5712890625,0.5712890625
331,0.55859375,0.55859375,0.55859375
332,0.5595703125,0.5595703125,0.5595703125
333,0.552734375,0.552734375,0.552734375
334,0.541015625,0.541015625,0.541015625
335,0.560546875,0.560546875,0.560546875
336,0.53515625,0.53515625,0.53515625
337,0.564453125,0.564453125,0.564453125
338,0.55078125,0.55078125,0.55078125
339,0.57421875,0.57421875,0.57421875
340,0.5380859375,0.5380859375,0.5380859375
341,0.5244140625,0.5244140625,0.5244140625
